Websuche-Interesse: facebook
Weltweit; Jan. 2005 - Jan. 2006

Interesse im Laufe der Zeit
Woche,facebook
2005-01-02 - 2005-01-08,23
2005-01-09 - 2005-01-15,26
2005-01-16 - 2005-01-22,29
2005-01-23 - 2005-01-29,33
2005-01-30 - 2005-02-05,37
2005-02-06 - 2005-02-12,39
2005-02-13 - 2005-02-19,40
2005-02-20 - 2005-02-26,29
2005-02-27 - 2005-03-05,39
2005-03-06 - 2005-03-12,29
2005-03-13 - 2005-03-19,29
2005-03-20 - 2005-03-26,30
2005-03-27 - 2005-04-02,31
2005-04-03 - 2005-04-09,34
2005-04-10 - 2005-04-16,37
2005-04-17 - 2005-04-23,47
2005-04-24 - 2005-04-30,56
2005-05-01 - 2005-05-07,48
2005-05-08 - 2005-05-14,43
2005-05-15 - 2005-05-21,41
2005-05-22 - 2005-05-28,39
2005-05-29 - 2005-06-04,38
2005-06-05 - 2005-06-11,41
2005-06-12 - 2005-06-18,40
2005-06-19 - 2005-06-25,43
2005-06-26 - 2005-07-02,45
2005-07-03 - 2005-07-09,47
2005-07-10 - 2005-07-16,50
2005-07-17 - 2005-07-23,50
2005-07-24 - 2005-07-30,52
2005-07-31 - 2005-08-06,53
2005-08-07 - 2005-08-13,43
2005-08-14 - 2005-08-20,42
2005-08-21 - 2005-08-27,50
2005-08-28 - 2005-09-03,58
2005-09-04 - 2005-09-10,100
2005-09-11 - 2005-09-17,77
2005-09-18 - 2005-09-24,76
2005-09-25 - 2005-10-01,75
2005-10-02 - 2005-10-08,81
2005-10-09 - 2005-10-15,82
2005-10-16 - 2005-10-22,96
2005-10-23 - 2005-10-29,86
2005-10-30 - 2005-11-05,87
2005-11-06 - 2005-11-12,97
2005-11-13 - 2005-11-19,88
2005-11-20 - 2005-11-26,78
2005-11-27 - 2005-12-03,87
2005-12-04 - 2005-12-10,94
2005-12-11 - 2005-12-17,89
2005-12-18 - 2005-12-24,84
2005-12-25 - 2005-12-31,85
2006-01-01 - 2006-01-07,83
2006-01-08 - 2006-01-14,79
2006-01-15 - 2006-01-21,87
2006-01-22 - 2006-01-28,89
2006-01-29 - 2006-02-04,95


Top-Regionen für: facebook
Region,facebook
Vereinigte Staaten,100
Kanada,9
Vereinigtes Königreich,7


Top-Städte für: facebook
Stadt,facebook
Gainesville (Vereinigte Staaten),100
Tallahassee (Vereinigte Staaten),92
Baton Rouge (Vereinigte Staaten),74
Jackson (Vereinigte Staaten),67
Birmingham (Vereinigte Staaten),57
Cambridge (Vereinigte Staaten),57
Madison (Vereinigte Staaten),53
Syracuse (Vereinigte Staaten),48
Providence (Vereinigte Staaten),45
Charlottesville (Vereinigte Staaten),44
Oklahoma Stadt (Vereinigte Staaten),44
Pittsburgh (Vereinigte Staaten),43
St. Louis (Vereinigte Staaten),43
Raleigh (Vereinigte Staaten),42
Rochester (Vereinigte Staaten),41



Häufigste Suchanfragen für facebook
the facebook,100
college facebook,20
high school facebook,15
my facebook,10
facebook.com,10
face book,5
facebook highschool,5
harvard facebook,5
thefacebook,5
facebook login,5
search facebook,0
facebook me,0



Zunehmende Suchanfragen für facebook
facebook highschool,Ausreißer
high school facebook,Ausreißer
my facebook,+130 %



