Websuche-Interesse: facebook
Weltweit; Jan. 2010 - Jan. 2011

Interesse im Laufe der Zeit
Woche,facebook
2010-01-03 - 2010-01-09,66
2010-01-10 - 2010-01-16,68
2010-01-17 - 2010-01-23,71
2010-01-24 - 2010-01-30,72
2010-01-31 - 2010-02-06,72
2010-02-07 - 2010-02-13,74
2010-02-14 - 2010-02-20,74
2010-02-21 - 2010-02-27,71
2010-02-28 - 2010-03-06,72
2010-03-07 - 2010-03-13,74
2010-03-14 - 2010-03-20,73
2010-03-21 - 2010-03-27,76
2010-03-28 - 2010-04-03,77
2010-04-04 - 2010-04-10,78
2010-04-11 - 2010-04-17,79
2010-04-18 - 2010-04-24,80
2010-04-25 - 2010-05-01,77
2010-05-02 - 2010-05-08,79
2010-05-09 - 2010-05-15,77
2010-05-16 - 2010-05-22,77
2010-05-23 - 2010-05-29,78
2010-05-30 - 2010-06-05,76
2010-06-06 - 2010-06-12,77
2010-06-13 - 2010-06-19,78
2010-06-20 - 2010-06-26,79
2010-06-27 - 2010-07-03,81
2010-07-04 - 2010-07-10,80
2010-07-11 - 2010-07-17,80
2010-07-18 - 2010-07-24,82
2010-07-25 - 2010-07-31,81
2010-08-01 - 2010-08-07,82
2010-08-08 - 2010-08-14,83
2010-08-15 - 2010-08-21,85
2010-08-22 - 2010-08-28,83
2010-08-29 - 2010-09-04,86
2010-09-05 - 2010-09-11,85
2010-09-12 - 2010-09-18,85
2010-09-19 - 2010-09-25,93
2010-09-26 - 2010-10-02,86
2010-10-03 - 2010-10-09,88
2010-10-10 - 2010-10-16,88
2010-10-17 - 2010-10-23,88
2010-10-24 - 2010-10-30,87
2010-10-31 - 2010-11-06,88
2010-11-07 - 2010-11-13,85
2010-11-14 - 2010-11-20,89
2010-11-21 - 2010-11-27,89
2010-11-28 - 2010-12-04,87
2010-12-05 - 2010-12-11,89
2010-12-12 - 2010-12-18,89
2010-12-19 - 2010-12-25,95
2010-12-26 - 2011-01-01,100
2011-01-02 - 2011-01-08,94
2011-01-09 - 2011-01-15,91
2011-01-16 - 2011-01-22,93
2011-01-23 - 2011-01-29,94
2011-01-30 - 2011-02-05,96


Top-Regionen für: facebook
Region,facebook
Türkei,100
